fault_rate,num_rows,injection_rate,system.ruby.network.average_flit_latency,system.ruby.network.average_packet_latency,system.ruby.network.flits_received::total,system.ruby.network.packets_received::total
0.0,4,0.24,9944.846293,9286.741214,1106.0,626.0
0.0,4,0.24,10254.365541,9255.643341,1718.0,886.0
0.0,4,0.24,9476.571429,9130.671506,875.0,551.0
0.0,4,0.24,9336.565097,9065.450644,722.0,466.0
0.0,4,0.25,9625.68306,9098.00363,915.0,551.0
0.0,4,0.25,8942.244224,8878.019324,606.0,414.0
0.0,4,0.25,10263.421618,9357.70751,1397.0,759.0
0.0,4,0.25,10138.231198,9279.145078,1436.0,772.0
0.0,4,0.25,8873.106061,9087.628866,528.0,388.0
0.0,4,0.26,9031.446541,9004.504505,636.0,444.0
0.0,4,0.26,8520.38835,9087.822014,515.0,427.0
0.0,4,0.26,10193.28957,9322.341857,1371.0,743.0
0.0,4,0.26,8660.747664,9160.240964,535.0,415.0
0.0,4,0.26,10556.13577,9176.012461,1915.0,963.0
0.0,4,0.27,9064.467766,9028.571429,667.0,455.0
0.0,4,0.27,10268.969772,9231.316726,1621.0,843.0
0.0,4,0.27,9681.632653,9118.288591,980.0,596.0
0.0,4,0.27,8869.712352,8916.058394,591.0,411.0
0.0,4,0.27,8755.703422,9108.974359,526.0,390.0
0.0,4,0.28,10045.19774,9224.047306,1416.0,761.0
0.0,4,0.28,9222.383721,9121.767241,688.0,464.0
0.0,4,0.28,8772.972973,8870.84399,555.0,391.0
0.0,4,0.28,9600.459242,9304.387569,871.0,547.0
0.0,4,0.28,10052.590267,9227.839335,1274.0,722.0
0.0,4,0.29,9299.212598,9006.122449,762.0,490.0
0.0,4,0.29,9034.026465,9131.105398,529.0,389.0
0.0,4,0.29,8693.686007,8948.356808,586.0,426.0
0.0,4,0.29,9404.977376,9114.963504,884.0,548.0
0.0,4,0.29,8912.195122,9089.010989,615.0,455.0
0.0,4,0.3,8700.657895,8848.37963,608.0,432.0
0.0,4,0.3,10368.754164,9420.554855,1501.0,793.0
0.0,4,0.3,9264.401773,9092.134831,677.0,445.0
0.0,4,0.3,9259.314456,8998.910675,671.0,459.0
0.0,4,0.3,8319.264069,8891.891892,462.0,370.0
0.0,8,0.02,21370.811287,23001.764113,2268.0,1984.0
0.0,8,0.02,20773.268801,23270.028275,2686.0,2122.0
0.0,8,0.02,21300.543024,23107.838364,2394.0,2054.0
0.0,8,0.02,15049.042272,16409.868421,3028.0,2280.0
0.0,8,0.02,20842.04947,23217.629046,2830.0,2286.0
0.0,8,0.03,21007.958801,22977.449889,2136.0,1796.0
0.0,8,0.03,20878.838873,22735.163205,2377.0,2022.0
0.0,8,0.03,21162.96753,22860.570071,2433.0,2105.0
0.0,8,0.03,20771.226415,22570.211786,2544.0,2172.0
0.0,8,0.03,21153.222767,22943.007453,2653.0,2281.0
0.0,8,0.04,20528.590135,22850.4,2291.0,1875.0
0.0,8,0.04,20323.316551,22989.130435,3178.0,2484.0
0.0,8,0.04,20269.451897,22459.207459,2609.0,2145.0
0.0,8,0.04,22929.925077,24157.129232,2269.0,2097.0
0.0,8,0.04,20610.789981,22609.711406,2595.0,2183.0
0.0,8,0.05,20325.83881,22687.259513,2891.0,2339.0
0.0,8,0.05,19861.709643,22037.190083,2831.0,2299.0
0.0,8,0.05,21951.976103,23635.220126,2176.0,1908.0
0.0,8,0.05,20038.501027,22821.015138,2922.0,2246.0
0.0,8,0.05,21601.390758,23224.987303,2229.0,1969.0
0.0,8,0.06,21540.180694,22923.380727,2103.0,1899.0
0.0,8,0.06,18501.717721,21104.280156,3493.0,2570.0
0.0,8,0.06,17951.24283,20660.913436,2615.0,1883.0
0.0,8,0.06,20171.510516,22293.65447,2615.0,2159.0
0.0,8,0.06,19459.302326,21840.375587,2666.0,2130.0
0.0,8,0.07,19720.972097,22150.168729,2222.0,1778.0
0.0,8,0.07,18004.009763,20612.35687,2868.0,2096.0
0.0,8,0.07,19181.847755,21750.426985,3074.0,2342.0
0.0,8,0.07,22043.124692,23271.803103,2029.0,1869.0
0.0,8,0.07,19917.489422,22312.833037,2836.0,2252.0
0.0,8,0.08,19399.049012,21920.782852,2734.0,2146.0
0.0,8,0.08,20250.75188,22496.578467,2660.0,2192.0
0.0,8,0.08,18161.704795,20783.340435,3191.0,2347.0
0.0,8,0.08,20340.642722,22551.487414,2645.0,2185.0
0.0,8,0.08,21520.670827,23264.534884,2564.0,2236.0
0.0,8,0.09,21947.640728,23362.408425,2416.0,2184.0
0.0,8,0.09,20156.104199,22322.069943,2572.0,2116.0
0.0,8,0.09,18978.427477,21801.190934,3523.0,2603.0
0.0,8,0.09,19817.142857,22025.221859,2625.0,2141.0
0.0,8,0.09,19879.035472,22018.836433,2509.0,2097.0
0.0,8,0.1,21996.607516,23354.452055,1916.0,1752.0
0.0,8,0.1,20972.921434,23031.446541,2622.0,2226.0
0.0,8,0.1,18535.290538,21275.071633,3287.0,2443.0
0.0,8,0.1,16696.153846,18644.289451,2990.0,2294.0
0.0,8,0.1,21206.841046,23019.347319,2485.0,2145.0
0.0,8,0.11,19846.099291,22280.080214,2820.0,2244.0
0.0,8,0.11,18403.568269,21059.633028,3391.0,2507.0
0.0,8,0.11,20788.265306,22536.093418,2156.0,1884.0
0.0,8,0.11,20790.609618,22977.15852,2641.0,2189.0
0.0,8,0.11,16621.95122,18849.89154,3157.0,2305.0
0.0,8,0.12,16860.97561,19398.427803,3485.0,2417.0
0.0,8,0.12,20449.733096,22543.961864,2248.0,1888.0
0.0,8,0.12,20935.631229,22948.885659,2408.0,2064.0
0.0,8,0.12,19096.186015,21644.799309,2989.0,2317.0
0.0,8,0.12,21292.611415,23581.162791,2558.0,2150.0
0.0,8,0.13,16603.960396,18649.09321,3131.0,2371.0
0.0,8,0.13,18487.120677,21184.854186,2834.0,2126.0
0.0,8,0.13,17759.467224,20551.296505,3829.0,2661.0
0.0,8,0.13,17292.993631,19913.70768,3454.0,2422.0
0.0,8,0.13,18835.449219,21541.232639,3072.0,2304.0
0.0,8,0.14,20394.308943,22605.712891,2460.0,2048.0
0.0,8,0.14,18809.17345,21498.971193,3194.0,2430.0
0.0,8,0.14,19932.656444,22151.924038,2413.0,2001.0
0.0,8,0.14,20418.404502,23015.644556,3021.0,2397.0
0.0,8,0.14,22031.688805,24182.7051,2635.0,2255.0
0.0,8,0.15,18061.598746,20742.194093,3190.0,2370.0
0.0,8,0.15,19505.00646,22336.928934,3096.0,2364.0
0.0,8,0.15,18845.218261,21846.223428,3001.0,2211.0
0.0,8,0.15,20627.447217,22719.162494,2605.0,2197.0
0.0,8,0.15,22946.303181,24644.005512,2421.0,2177.0
0.0,8,0.16,21063.793752,23287.05777,2657.0,2233.0
0.0,8,0.16,20187.832565,22729.639519,2819.0,2247.0
0.0,8,0.16,19900.033829,22666.086957,2956.0,2300.0
0.0,8,0.16,19728.344934,22400.147203,2586.0,2038.0
0.0,8,0.16,18518.377254,21089.579525,2884.0,2188.0
0.0,8,0.17,19389.481707,21752.142857,2624.0,2100.0
0.0,8,0.17,19846.981374,22495.671888,3114.0,2426.0
0.0,8,0.17,18310.529846,21064.259764,2982.0,2202.0
0.0,8,0.17,18640.36202,21562.581204,3149.0,2309.0
0.0,8,0.17,15364.257556,17395.02546,3805.0,2553.0
0.0,8,0.18,20966.613987,23004.640371,2531.0,2155.0
0.0,8,0.18,20285.116448,22655.460289,2748.0,2216.0
0.0,8,0.18,20849.383207,22820.878094,2513.0,2141.0
0.0,8,0.18,14949.473338,16437.880104,3038.0,2302.0
0.0,8,0.18,20128.413524,22882.657285,3076.0,2416.0
0.0,8,0.19,20840.89233,23273.282098,2712.0,2212.0
0.0,8,0.19,20040.987035,22444.273241,2391.0,1947.0
0.0,8,0.19,17692.626465,20513.894482,3499.0,2483.0
0.0,8,0.19,18513.833466,21527.705948,3759.0,2707.0
0.0,8,0.19,17771.269177,20221.207865,2868.0,2136.0
0.0,8,0.2,19166.995722,22024.140931,3039.0,2299.0
0.0,8,0.2,21054.131054,23012.99008,2457.0,2117.0
0.0,8,0.2,16048.220641,17433.000867,2810.0,2306.0
0.0,8,0.2,20275.569358,22334.810438,2415.0,2031.0
0.0,8,0.2,21378.109453,23239.047619,2412.0,2100.0
0.0,8,0.21,20777.996422,23214.441061,2795.0,2299.0
0.0,8,0.21,20009.680889,22666.51522,2789.0,2201.0
0.0,8,0.21,18309.198706,20887.587822,2783.0,2135.0
0.0,8,0.21,19998.47793,22723.42457,1971.0,1571.0
0.0,8,0.21,18407.412707,21106.156275,3494.0,2534.0
0.0,8,0.22,20413.016783,23070.766855,2443.0,1943.0
0.0,8,0.22,21034.649123,23313.674322,2280.0,1916.0
0.0,8,0.22,18855.5845,21519.722583,3071.0,2307.0
0.0,8,0.22,19930.311716,22408.112954,2791.0,2231.0
0.0,8,0.22,21018.027572,22732.934132,1886.0,1670.0
0.0,8,0.23,21060.985145,23223.073352,2558.0,2154.0
0.0,8,0.23,18646.560319,21436.193864,3009.0,2249.0
0.0,8,0.23,17078.493387,19572.992701,3478.0,2466.0
0.0,8,0.23,19845.284872,23041.484716,3054.0,2290.0
0.0,8,0.23,19385.63327,22260.495382,3174.0,2382.0
0.0,8,0.24,18539.133473,21405.156102,2862.0,2114.0
