fault_rate,num_rows,num_cols,injection_rate,system.ruby.network.average_flit_latency,system.ruby.network.average_packet_latency,system.ruby.network.flits_received::total,system.ruby.network.packets_received::total
0.0,8,8,0.1,22051.899907,24049.189189,2158.0,1850.0
0.0,8,8,0.1,20859.461967,23026.006711,2156.0,1788.0
0.0,8,8,0.1,22579.782197,24065.638075,2112.0,1912.0
0.0,8,8,0.1,21659.063136,23553.970518,2455.0,2103.0
0.0,8,8,0.12,19745.866974,21933.460986,2601.0,2089.0
0.0,8,8,0.12,20681.120852,23432.001614,3194.0,2478.0
0.0,8,8,0.12,21963.410172,24628.577919,2733.0,2201.0
0.0,8,8,0.12,24066.054635,25609.906358,2233.0,2029.0
0.0,8,8,0.12,19372.432074,22177.018634,3018.0,2254.0
0.0,8,8,0.12,21274.943052,23183.466667,2195.0,1875.0
0.0,8,8,0.12,21223.295455,23347.399635,2640.0,2192.0
0.0,8,8,0.12,21622.891566,23402.73909,2490.0,2154.0
0.0,8,8,0.12,16518.564356,18173.735726,3232.0,2452.0
0.0,8,8,0.12,18792.117727,21160.198556,2956.0,2216.0
0.0,8,8,0.14,20396.314158,23076.734875,2903.0,2248.0
0.0,8,8,0.14,21180.87408,23382.398353,2311.0,1943.0
0.0,8,8,0.14,20967.408585,23178.846154,2516.0,2080.0
0.0,8,8,0.14,19315.987723,22074.961656,3584.0,2608.0
0.0,8,8,0.14,23760.944206,25059.767442,2330.0,2150.0
0.0,8,8,0.14,19644.171779,22287.111111,2934.0,2250.0
0.0,8,8,0.14,20372.56006,23115.984405,2664.0,2052.0
0.0,8,8,0.14,20098.594088,22573.303167,2774.0,2210.0
0.0,8,8,0.14,20063.917123,22663.913914,2558.0,1998.0
0.0,8,8,0.14,24339.242351,25759.894459,2059.0,1895.0
0.0,8,8,0.16,19976.045992,22872.367856,3131.0,2327.0
0.0,8,8,0.16,16808.367934,18646.70913,3131.0,2355.0
0.0,8,8,0.16,22333.677686,24582.760314,2420.0,2036.0
0.0,8,8,0.16,20610.215054,22949.450549,2232.0,1820.0
0.0,8,8,0.16,20010.182948,22611.411818,2897.0,2217.0
0.0,8,8,0.16,22324.401137,24871.245692,2463.0,2031.0
0.0,8,8,0.16,20948.464265,23992.907801,3386.0,2538.0
0.0,8,8,0.16,20816.952678,22967.424708,1923.0,1627.0
0.0,8,8,0.16,18778.194263,21431.637168,3068.0,2260.0
0.0,8,8,0.16,22836.513443,24563.538612,2306.0,2046.0
0.0,8,8,0.18,21545.031056,24209.369025,2576.0,2092.0
0.0,8,8,0.18,21406.06168,24116.688978,2821.0,2241.0
0.0,8,8,0.18,21266.040689,23808.252427,2556.0,2060.0
0.0,8,8,0.18,22887.776831,24375.0,2348.0,2148.0
0.0,8,8,0.18,22685.33737,24799.395161,2312.0,1984.0
0.0,8,8,0.18,22416.940789,24397.338403,2432.0,2104.0
0.0,8,8,0.18,22014.421386,24876.706297,2843.0,2271.0
0.0,8,8,0.18,19161.739721,21874.484654,2943.0,2183.0
0.0,8,8,0.18,20870.644922,23518.684957,2698.0,2114.0
0.0,8,8,0.18,21298.824959,23447.087379,2468.0,2060.0
0.0,8,8,0.2,21679.096045,24100.504819,2655.0,2179.0
0.0,8,8,0.2,22862.218045,25267.410714,2660.0,2240.0
0.0,8,8,0.2,21058.024159,23431.937173,2318.0,1910.0
0.0,8,8,0.2,20712.627506,23246.569278,2843.0,2259.0
0.0,8,8,0.2,19463.070943,22188.560244,3087.0,2299.0
0.0,8,8,0.2,20811.649319,23350.947159,2498.0,2006.0
0.0,8,8,0.2,21935.853379,23936.585366,2619.0,2255.0
0.0,8,8,0.2,21451.472192,23969.914683,2751.0,2227.0
0.0,8,8,0.2,21465.666041,23802.781578,2665.0,2193.0
0.0,8,8,0.2,21511.785857,23996.122152,2503.0,2063.0
0.0,8,8,0.22,22035.16029,24578.991953,2901.0,2361.0
0.0,8,8,0.22,22550.0,25423.681973,2920.0,2352.0
0.0,8,8,0.22,21597.402597,23585.151803,2464.0,2108.0
0.0,8,8,0.22,19443.078478,21961.639632,2969.0,2281.0
0.0,8,8,0.22,22833.614509,25312.658228,2371.0,1975.0
0.0,8,8,0.22,20957.63773,23432.313278,2396.0,1928.0
0.0,8,8,0.22,22487.815126,24662.549407,2380.0,2024.0
0.0,8,8,0.22,21903.961585,24578.624079,2499.0,2035.0
0.0,8,8,0.22,21820.035149,24290.543432,2845.0,2337.0
0.0,8,8,0.22,21194.968553,24004.920839,3021.0,2337.0
0.0,8,8,0.24,22484.980989,24574.888889,2630.0,2250.0
0.0,8,8,0.24,23575.326493,25890.692641,2144.0,1848.0
0.0,8,8,0.24,22950.518042,25439.203808,2799.0,2311.0
0.0,8,8,0.24,19472.754947,22531.49937,3285.0,2381.0
0.0,8,8,0.24,22768.760611,25730.866808,2945.0,2365.0
0.0,8,8,0.24,19065.267176,21530.811623,2620.0,1996.0
0.0,8,8,0.24,20395.425978,22774.703557,2864.0,2277.0
0.0,8,8,0.24,22902.952565,24418.783069,2066.0,1890.0
0.0,8,8,0.24,21688.067957,24235.449735,2531.0,2079.0
0.0,8,8,0.24,20668.902649,23367.949279,2907.0,2287.0
0.0,8,8,0.26,19068.206424,21726.26506,2771.0,2075.0
0.0,8,8,0.26,23282.608696,25320.846075,2254.0,1962.0
0.0,8,8,0.26,20058.099688,22737.267583,3210.0,2474.0
0.0,8,8,0.26,19864.052953,22629.364369,2946.0,2234.0
0.0,8,8,0.26,16422.817601,17888.163621,2818.0,2298.0
0.0,8,8,0.26,22275.720165,24451.196172,2430.0,2090.0
0.0,8,8,0.26,19868.218475,22481.568998,2728.0,2116.0
0.0,8,8,0.26,22699.520279,24908.583037,2293.0,1969.0
0.0,8,8,0.26,22732.661428,25516.842105,2927.0,2375.0
0.0,8,8,0.26,20797.81746,23146.317829,2520.0,2064.0
0.0,8,8,0.28,23025.913929,25267.024129,2161.0,1865.0
0.0,8,8,0.28,22470.485352,24518.658598,2287.0,1983.0
0.0,8,8,0.28,23131.868132,25314.474305,2457.0,2121.0
0.0,8,8,0.28,20451.681567,23092.960774,2349.0,1861.0
0.0,8,8,0.28,21084.521385,23676.648213,2455.0,1987.0
0.0,8,8,0.28,20428.707224,22881.008483,2630.0,2122.0
0.0,8,8,0.28,24667.478092,26848.998888,2054.0,1798.0
0.0,8,8,0.28,22529.437229,24732.016211,2310.0,1974.0
0.0,8,8,0.28,20131.866197,23226.711027,2840.0,2104.0
0.0,8,8,0.28,23048.848292,25321.227741,2518.0,2134.0
0.0,8,8,0.3,21021.586522,23559.392873,2849.0,2273.0
0.0,8,8,0.3,21653.019447,23701.775148,1954.0,1690.0
0.0,8,8,0.3,23962.253194,26714.885674,2583.0,2143.0
0.0,8,8,0.3,21015.944882,23521.986166,2540.0,2024.0
0.0,8,8,0.3,21250.450126,23511.338857,2777.0,2293.0
0.0,8,8,0.3,21227.336367,23888.717497,2857.0,2269.0
0.0,8,8,0.3,22441.30341,24506.773708,2317.0,1993.0
0.0,8,8,0.3,22037.069726,24469.640971,2266.0,1894.0
0.0,8,8,0.3,20233.52566,23087.905487,3293.0,2497.0
0.0,8,8,0.3,21621.526419,24071.121718,2555.0,2095.0
0.0,8,8,0.32,19476.388094,22803.497942,3494.0,2430.0
0.0,8,8,0.32,22029.885545,24161.507738,2359.0,2003.0
0.0,8,8,0.32,21443.680419,24514.353042,3054.0,2334.0
0.0,8,8,0.32,21984.693878,24910.192147,3038.0,2394.0
0.0,8,8,0.32,20889.580974,23188.43878,2649.0,2197.0
0.0,8,8,0.32,23667.012879,25779.236277,2407.0,2095.0
0.0,8,8,0.32,22159.120034,24436.27204,2341.0,1985.0
0.0,8,8,0.32,22242.674681,24543.40124,2662.0,2258.0
0.0,8,8,0.32,20159.250103,22984.266667,2427.0,1875.0
0.0,8,8,0.32,21359.128823,23308.791802,2158.0,1854.0
0.0,8,8,0.34,21818.474068,24034.21186,2333.0,1973.0
0.0,8,8,0.34,22111.343738,24515.974441,2627.0,2191.0
0.0,8,8,0.34,23072.079896,24834.958557,2303.0,2051.0
0.0,8,8,0.34,21698.095936,24617.373079,2731.0,2147.0
0.0,8,8,0.34,19816.268104,22708.918062,2969.0,2209.0
0.0,8,8,0.34,17718.598107,20493.333333,3909.0,2625.0
0.0,8,8,0.34,22216.916228,24301.279015,2471.0,2111.0
0.0,8,8,0.34,21892.36921,25069.752282,3001.0,2301.0
0.0,8,8,0.34,21672.600955,23701.012658,2303.0,1975.0
0.0,8,8,0.34,20476.541809,23153.679654,2643.0,2079.0
0.0,8,8,0.36,20661.40817,23295.289079,3011.0,2335.0
0.0,8,8,0.36,20721.150855,23492.310805,3215.0,2471.0
0.0,8,8,0.36,22562.678063,24710.763395,2457.0,2109.0
0.0,8,8,0.36,21722.125813,24154.46942,2305.0,1913.0
0.0,8,8,0.36,19338.391279,22223.759154,3394.0,2458.0
0.0,8,8,0.36,23841.714757,26106.220096,2426.0,2090.0
0.0,8,8,0.36,22442.925748,25014.844804,2707.0,2223.0
0.0,8,8,0.36,20042.650419,23076.086957,2626.0,1978.0
0.0,8,8,0.36,22803.007798,25143.895989,2693.0,2269.0
0.0,8,8,0.36,19969.883527,22803.057156,3005.0,2257.0
0.0,8,8,0.38,19715.32327,22799.408284,3511.0,2535.0
0.0,8,8,0.38,21757.423833,24511.990408,2593.0,2085.0
0.0,8,8,0.38,20433.450704,23242.727273,2840.0,2200.0
0.0,8,8,0.38,19909.366577,22705.882353,2968.0,2244.0
0.0,8,8,0.38,20967.311234,24497.47262,3258.0,2374.0
0.0,8,8,0.38,19579.289026,22474.402014,3235.0,2383.0
0.0,8,8,0.38,21048.292108,23918.95948,2547.0,1999.0
0.0,8,8,0.38,20797.518065,23731.707317,3183.0,2419.0
0.0,8,8,0.38,20489.422431,23360.300619,2978.0,2262.0
0.0,8,8,0.38,22398.703704,25106.884058,2700.0,2208.0
0.0,8,8,0.4,21835.031538,24146.467547,2061.0,1741.0
0.0,8,8,0.4,19751.017639,22386.424731,2948.0,2232.0
0.0,8,8,0.4,21067.930153,23503.630705,2348.0,1928.0
0.0,8,8,0.4,20858.305586,23527.868852,2703.0,2135.0
0.0,8,8,0.4,22888.775925,25020.254357,2459.0,2123.0
0.0,8,8,0.4,19652.311274,22329.010989,3007.0,2275.0
0.0,8,8,0.4,22200.401248,24149.566105,2243.0,1959.0
0.0,8,8,0.4,23263.4309,26072.987722,2699.0,2199.0
0.0,8,8,0.4,21481.908478,23924.105218,2819.0,2319.0
0.0,8,8,0.4,22285.534591,24611.028316,2385.0,2013.0
0.03,4,4,0.02,10262.246117,9725.165563,837.0,453.0
0.03,4,4,0.02,10177.757521,9569.243156,1097.0,621.0
0.03,4,4,0.02,9895.338208,9193.894389,1094.0,606.0
0.03,4,4,0.02,10505.169173,9912.727273,1064.0,550.0
0.03,4,4,0.02,10578.451883,9855.371901,956.0,484.0
0.03,4,4,0.02,9908.450704,9322.4,1065.0,625.0
0.03,4,4,0.02,10357.549858,9749.569707,1053.0,581.0
0.03,4,4,0.02,10517.364658,9971.098266,979.0,519.0
0.03,4,4,0.02,9343.902439,9218.678815,615.0,439.0
0.03,4,4,0.02,10172.259508,9648.785425,894.0,494.0
0.03,4,4,0.04,10054.6875,9484.375,1152.0,672.0
0.03,4,4,0.04,10193.658955,9661.481481,1167.0,675.0
